Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;Septiembre;0 a 5:59;1;DORREGO Y GABOTO;5438673,98;6352203,75
2016;Octubre;0 a 5:59;1;COLOMBRES JOSE E Y NAVARRO;5431757,85;6356528,05
2016;Diciembre;0 a 5:59;3;BIEDMA Y CAFFERATA;5436454,45;6351730,85
2016;Enero;0 a 5:59;1;BELGRANO Y LAPRIDA;5440835.09749998;6355162.615000012
2016;Octubre;0 a 5:59;1;SANTA FE Y VERA MUJICA;5437667,4;6355682,73
2016;FEBRERO;0 a 5:59;2;H DE LA QUINTANA Y SERRANO;5440950,4;6348995,68
2016;Agosto;0 a 5:59;1;OVIDIO LAGOS Y SALTA;5438305,6;6356202,66
2016;Diciembre;0 a 5:59;1;GALVEZ Y NECOCHEA;5441124,61;6352230,86
2016;Octubre;0 a 5:59;2;LAVALLE Y PELLEGRINI;5436369;6354536,74
2016;Octubre;0 a 5:59;1;PTE ROCA Y ZEBALLOS;5439478,12;6354161,64
2016;Julio;0 a 5:59;1;NEUQUEN Y PROVINCIAS UNIDAS;5433380,27;6355139,26
2016;Noviembre;0 a 5:59;1;CALLAO Y RIOJA;5438247,23;6355273,71
2016;Abril;0 a 5:59;1;JORGE NEWBERY 8000;5431185,207;6359136,87
2016;Abril;0 a 5:59;1;RICCHIERI Y SAN JUAN;5437932,09;6355039,52
2016;Junio;0 a 5:59;1;CAMILO ALDAO Y PTE PERON;5434999,46;6353463,115
2016;FEBRERO;0 a 5:59;1;ALVAREZ Y CIUDADELA;5431627,4;6360899,22
2016;Octubre;0 a 5:59;1;AMENABAR Y ITALIA;5438827,21;6352304,73
2016;Diciembre;0 a 5:59;1;MONTEVIDEO Y VERA MUJICA;5437414,36;6354453,06
2016;Julio;0 a 5:59;1;GRANADEROS 2960;5433609422434280;6361567898659110
2016;Agosto;0 a 5:59;1;OROÑO Y URQUIZA;5438987,04;6355656,08
2016;marzo;0 a 5:59;1;DERQUI Y DONADO;5432005,77;6355814,43
2016;Enero;0 a 5:59;2;CASTELLANOS Y PTE PERON;5436476,68;6353771,19
2016;Agosto;0 a 5:59;1;LA REPUBLICA Y MALABIA;5428928,77;6357855,34
2016;Julio;0 a 5:59;1;E ZEBALLOS Y OVIDIO LAGOS;5437948,18;6354475,67
2016;Junio;0 a 5:59;1;OROÑO Y RUEDA;5438344,425;6352536,675
2016;Septiembre;0 a 5:59;3;LIMA Y SANTA FE;5436139;6355997,84
2016;Julio;0 a 5:59;1;ESTEBAN DE LUCA Y OVIDIO LAGOS;5436976,96;6349487,79
2016;FEBRERO;0 a 5:59;2;LAPRIDA Y MONTEVIDEO;5440470,57;6353825,21
